X.1,Favourable,Unfavourable
15/08/2025,30,33
14/07/2025,27,33
16/06/2025,27,32
14/05/2025,26,34
29/04/2025,25,35
14/04/2025,24,35
17/03/2025,27,33
11/03/2025,26,31
05/03/2025,25,31
17/02/2025,27,32
17/01/2025,28,32
09/01/2025,26,30
10/11/2024,24,31
31/10/2024,24,38
06/10/2024,25,32
22/09/2024,27,36
13/09/2024,25,33
28/08/2024,25,29
14/08/2024,24,32
31/07/2024,27,33
08/07/2024,34,29
02/07/2024,30,36
30/06/2024,27,37
26/06/2024,26,34
21/06/2024,25,36
30/05/2024,15,35
13/10/2023,15,27
16/03/2023,15,28
26/07/2021,15,30
20/06/2021,12,29
04/11/2020,9,28
10/09/2020,8,26